Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Misterbianco;2015-08-30 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
Misterbianco;2015-08-30 01:00:00;1;O3;70,04391135;80400000;00:52;58,7342763;00:16;79,3772994;4,57454099;720;1;FALSE
Misterbianco;2015-08-30 02:00:00;2;O3;74,6752839;80400000;01:06;63,89504205;01:45;85,27529745;4,8348446;720;1;FALSE
Misterbianco;2015-08-30 03:00:00;3;O3;76,50475875;80400000;02:00;66,10677885;02:58;83,06356065;3,32253485;720;1;FALSE
Misterbianco;2015-08-30 04:00:00;4;O3;68,0495697;81400000;04:00;55,53950325;03:16;78,14855895;5,18294018;720;1;FALSE
Misterbianco;2015-08-30 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
Misterbianco;2015-08-30 06:00:00;6;O3;48,8141787;80400000;05:06;35,6337723;05:56;59,9630367;5,96111586;720;1;FALSE
Misterbianco;2015-08-30 07:00:00;7;O3;58,21615485;80400000;06:08;31,2102588;06:57;76,6740345;11,65651967;720;1;FALSE
Misterbianco;2015-08-30 08:00:00;8;O3;72,6642042;80400000;07:40;62,9120457;07:18;92,89356405;7,06672292;720;1;FALSE
Misterbianco;2015-08-30 09:00:00;9;O3;82,4310858;80400000;08:07;67,33553925;08:59;100,26604665;7,40881155;720;1;FALSE
Misterbianco;2015-08-30 10:00:00;10;O3;103,9048668;80400000;09:02;89,20728285;09:28;112,55357085;5,42673915;720;1;FALSE
Misterbianco;2015-08-30 11:00:00;11;O3;102,95099745;80400000;10:41;92,64781995;10:38;116,7313203;4,39488126;698;1;FALSE
Misterbianco;2015-08-30 12:00:00;12;O3;102,0692673;80400000;11:25;95,1053208;11:19;109,6045818;3,2395608;720;1;FALSE
Misterbianco;2015-08-30 13:00:00;13;O3;99,9202932;80400000;12:58;88,96153875;12:11;110,3418141;5,36299292;720;1;FALSE
Misterbianco;2015-08-30 14:00:00;14;O3;93,16081425;80400000;13:17;83,8008129;13:02;101,9863152;3,60893904;720;1;FALSE
Misterbianco;2015-08-30 15:00:00;15;O3;92,71776465;80400000;14:17;83,8008129;14:43;100,26604665;3,49343253;720;1;FALSE
Misterbianco;2015-08-30 16:00:00;16;O3;89,20389135;80400000;15:29;82,5720525;15:09;95,8425531;2,65465274;720;1;FALSE
Misterbianco;2015-08-30 17:00:00;17;O3;93,69224235;80400000;16:36;84,2923011;16:59;105,67257645;4,32049569;720;1;FALSE
Misterbianco;2015-08-30 18:00:00;18;O3;100,939818;80400000;17:54;82,5720525;17:18;112,30782675;7,31051192;720;1;FALSE
Misterbianco;2015-08-30 19:00:00;19;O3;87,6580656;80400000;18:51;72,9877932;18:02;101,9863152;8,48066919;720;1;FALSE
Misterbianco;2015-08-30 20:00:00;20;O3;87,37918455;80400000;19:59;69,79302015;19:17;99,0373062;6,05092278;720;1;FALSE
Misterbianco;2015-08-30 21:00:00;21;O3;53,8295289;80400000;20:50;20,39725905;20:09;86,995566;18,72107402;720;1;FALSE
Misterbianco;2015-08-30 22:00:00;22;O3;64,0185924;80400000;21:46;35,38800825;21:14;83,06356065;14,00524514;720;1;FALSE
Misterbianco;2015-08-30 23:00:00;23;O3;50,41530585;80400000;22:30;20,64300315;22:10;88,7158146;20,82307185;720;1;FALSE
Misterbianco;2015-08-31 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;2;FALSE
Misterbianco;2015-08-31 00:00:00;0;O3;65,4142545;80400000;23:09;54,8022909;23:56;77,65703085;5,85929505;720;2;FALSE
Misterbianco;2015-08-31 01:00:00;1;O3;76,7522784;80400000;00:52;63,15776985;00:33;88,22430645;6,29519058;716;2;FALSE
Misterbianco;2015-08-31 01:00:00;1;O3;76,7522784;80400000;00:52;63,15776985;00:33;88,22430645;6,29519058;716;2;TRUE
Misterbianco;2015-08-31 02:00:00;2;O3;61,98465;80400000;01:55;33,42201555;01:01;76,91979855;8,86060298;720;2;FALSE
Misterbianco;2015-08-31 02:00:00;2;O3;61,98465;80400000;01:55;33,42201555;01:01;76,91979855;8,86060298;720;2;TRUE
Misterbianco;2015-08-31 03:00:00;3;O3;39,6149145;80400000;02:55;3,1947531;02:20;61,1917572;19,89345771;720;2;FALSE
Misterbianco;2015-08-31 03:00:00;3;O3;39,6149145;80400000;02:55;3,1947531;02:20;61,1917572;19,89345771;720;2;TRUE
Misterbianco;2015-08-31 04:00:00;4;O3;15,86283353;81400000;03:11;1,22875043;03:59;51,36177375;11,51235498;720;2;FALSE
Misterbianco;2015-08-31 04:00:00;4;O3;15,86283353;81400000;03:11;1,22875043;03:59;51,36177375;11,51235498;720;2;TRUE
Misterbianco;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;2;FALSE
Misterbianco;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;2;TRUE
Misterbianco;2015-08-31 06:00:00;6;O3;53,7639732;80400000;05:41;29,98151835;05:30;73,97078955;14,73718271;720;2;FALSE
Misterbianco;2015-08-31 06:00:00;6;O3;53,7639732;80400000;05:41;29,98151835;05:30;73,97078955;14,73718271;720;2;TRUE
Misterbianco;2015-08-31 07:00:00;7;O3;46,34506695;80400000;06:03;28,26126975;06:55;64,6322943;10,12062702;720;2;FALSE
Misterbianco;2015-08-31 07:00:00;7;O3;46,34506695;80400000;06:03;28,26126975;06:55;64,6322943;10,12062702;720;2;TRUE
Misterbianco;2015-08-31 08:00:00;8;O3;69,67355955;80400000;07:13;41,77751445;07:50;94,36806855;14,76689624;720;2;FALSE
Misterbianco;2015-08-31 08:00:00;8;O3;69,67355955;80400000;07:13;41,77751445;07:50;94,36806855;14,76689624;720;2;TRUE
Misterbianco;2015-08-31 09:00:00;9;O3;91,28048685;80400000;08:06;68,0727915;08:59;105,67257645;8,44907837;720;2;FALSE
Misterbianco;2015-08-31 09:00:00;9;O3;91,28048685;80400000;08:06;68,0727915;08:59;105,67257645;8,44907837;720;2;TRUE
Misterbianco;2015-08-31 10:00:00;10;O3;102,2494557;80400000;09:23;91,6647837;09:43;113,045079;4,59499572;720;2;FALSE
Misterbianco;2015-08-31 10:00:00;10;O3;102,2494557;80400000;09:23;91,6647837;09:43;113,045079;4,59499572;720;2;TRUE
Misterbianco;2015-08-31 11:00:00;11;O3;106,67091435;80400000;10:00;94,1223045;10:46;118,4515689;4,98960672;720;2;FALSE
Misterbianco;2015-08-31 11:00:00;11;O3;106,67091435;80400000;10:00;94,1223045;10:46;118,4515689;4,98960672;720;2;TRUE
Misterbianco;2015-08-31 12:00:00;12;O3;107,767905;80400000;11:29;92,40203595;11:52;118,4515689;4,25353152;720;2;FALSE
Misterbianco;2015-08-31 12:00:00;12;O3;107,767905;80400000;11:29;92,40203595;11:52;118,4515689;4,25353152;720;2;TRUE
Misterbianco;2015-08-31 13:00:00;13;O3;107,8737198;80400000;12:56;99,52881435;12:26;118,69733295;3,46751349;720;2;FALSE
Misterbianco;2015-08-31 13:00:00;13;O3;107,8737198;80400000;12:56;99,52881435;12:26;118,69733295;3,46751349;720;2;TRUE
